City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
465,Yeniseysk,RU,58.4497,92.1703,62.42,93,91,5.21,overcast clouds
466,Carbonear,CA,47.7332,-53.2148,46.74,94,100,11.39,overcast clouds
467,Mount Gambier,AU,-37.8333,140.7667,52.0,94,100,5.14,overcast clouds
468,Cabedelo,BR,-6.9811,-34.8339,77.67,75,29,11.43,scattered clouds
469,Chake Chake,TZ,-5.2459,39.7666,74.61,90,39,8.25,light rain
470,Zhangatas,KZ,43.5667,69.75,63.55,26,0,10.31,clear sky
471,Kharkhorin,MN,47.1975,102.8238,43.11,68,17,4.36,few clouds
472,Ataq,YE,14.5377,46.8319,76.51,67,57,7.09,broken clouds
473,Mossamedes,AO,-15.1961,12.1522,65.23,77,1,10.94,clear sky
474,Sosnovoborsk,RU,56.1325,93.3589,62.46,83,100,1.68,light rain
475,Naracoorte,AU,-36.9579,140.7383,50.97,81,81,10.31,broken clouds
476,Taoudenni,ML,22.6783,-3.9836,88.27,20,0,8.88,clear sky
477,Brisas de Zicatela,MX,15.8369,-97.0419,88.32,66,40,9.22,scattered clouds
478,Balqash,KZ,46.8481,74.995,65.84,41,0,14.85,clear sky
479,Amga,RU,60.8953,131.9608,62.51,46,92,6.31,overcast clouds
480,Pathein,MM,16.7833,94.7333,79.75,83,72,3.87,broken clouds
481,Vicksburg,US,32.3526,-90.8779,89.28,23,20,5.75,few clouds
482,Léo,BF,11.1,-2.1,81.36,65,100,8.41,overcast clouds
483,Amuntai,ID,-2.4177,115.2494,75.06,94,100,1.36,overcast clouds
484,Enriquillo,DO,17.9,-71.2333,80.28,81,77,4.29,light rain
485,Nangis,FR,48.5554,3.0131,56.23,78,5,8.66,clear sky
486,Scone,AU,-32.0833,150.85,63.16,57,100,2.3,overcast clouds
487,Coşeşti,RO,45.0667,24.8667,61.02,92,64,5.5,broken clouds
488,Port Macquarie,AU,-31.4333,152.9167,64.89,79,92,7.78,overcast clouds
489,Dwārka,IN,22.2394,68.9678,83.21,83,27,16.42,scattered clouds
490,Borogontsy,RU,62.6683,131.1683,60.58,39,12,8.5,few clouds
491,Mandera,KE,3.9366,41.867,81.66,57,3,15.32,clear sky
492,Beijing,CN,39.9075,116.3972,71.49,32,16,5.53,few clouds
493,Muravlenko,RU,63.7898,74.523,58.6,54,100,8.68,overcast clouds
494,Itoman,JP,26.1247,127.6694,77.38,78,20,11.5,few clouds
495,Weno,FM,7.4515,151.8468,80.55,89,100,9.22,overcast clouds
496,Tutong,BN,4.8,114.65,80.69,87,100,3.15,overcast clouds
497,Suntar,RU,62.1444,117.6319,62.42,41,0,4.79,clear sky
498,Kailua-Kona,US,19.6406,-155.9956,80.56,87,100,13.8,overcast clouds
499,Jesup,US,31.6074,-81.8854,83.34,69,40,4.61,scattered clouds
500,Bengkulu,ID,-3.8004,102.2655,77.04,84,59,4.09,broken clouds
501,Tanūmah,SA,27.1,44.1333,84.4,16,63,5.5,broken clouds
502,Masterton,NZ,-40.9597,175.6575,57.88,61,2,5.5,clear sky
503,Nantucket,US,41.2835,-70.0995,68.14,94,0,4.61,clear sky
504,Huedin,RO,46.8667,23.05,54.01,89,7,3.87,clear sky
505,Saint-Philippe,RE,-21.3585,55.7679,71.19,67,50,13.33,scattered clouds
506,Khanty-Mansiysk,RU,61.0042,69.0019,60.91,82,20,2.24,few clouds
507,Bentiu,SS,9.2333,29.8333,78.21,69,82,2.57,broken clouds
508,Shingū,JP,33.7333,135.9833,64.17,91,100,4.16,overcast clouds
509,Mabaruma,GY,8.2,-59.7833,77.02,91,85,4.85,overcast clouds
510,Mergen,CN,49.1833,125.2167,59.32,60,69,14.5,broken clouds
511,Calingasta,AR,-31.3308,-69.4078,62.02,16,1,6.17,clear sky
512,Gobabis,NA,-22.45,18.9667,57.38,29,1,6.87,clear sky
513,Caorle,IT,45.5966,12.8758,68.05,81,88,11.48,overcast clouds
514,Pandan,PH,14.0453,124.1694,83.28,79,100,2.51,overcast clouds
515,Popayán,CO,2.4382,-76.6132,62.51,93,93,1.21,overcast clouds
